scenario,situation,games,model_mae,sportsbook_mae,mae_improvement_vs_sportsbook,total_bets,wins,losses,pushes,win_rate_excluding_pushes,total_profit,roi,seasons_with_bets,profitable_seasons,profitable_season_rate
Bet Side,home,336,9.956464738210942,9.407738095238095,-0.5487266429728468,336,171,153,12,0.5277777777777778,1059.4933348355562,0.0315325397272487,15,7,0.4666666666666667
Bet Side,away,413,10.788732766400127,10.102905569007264,-0.6858271973928627,413,211,191,11,0.5248756218905473,1017.654442885676,0.02464054341127545,15,10,0.6666666666666666
Bet Side,no_bet,2931,10.161203370974484,10.101330603889458,-0.0598727670850252,0,0,0,0,,0.0,,0,0,
Division Status,Non-Division,2324,10.38048046354954,10.231067125645438,-0.14941333790410205,492,255,226,11,0.5301455301455301,1778.0449958739512,0.03613912593239738,15,8,0.5333333333333333
Division Status,Division,1356,9.925788545427146,9.70759587020649,-0.21819267522065644,257,127,118,12,0.5183673469387755,299.10278184728054,0.01163824053880469,15,6,0.4
Favorite Type,Away Favorite,1380,10.13137622346981,10.033333333333333,-0.09804289013647605,266,145,110,11,0.5686274509803921,2771.6343502081027,0.10419678008301138,15,11,0.7333333333333333
Favorite Type,Home Favorite,2296,10.259358802679973,10.038545296167248,-0.2208135065127248,481,236,233,12,0.5031982942430704,-685.3956633959625,-0.014249390091392151,15,7,0.4666666666666667
Favorite Type,Pick'em,4,11.704716386696619,11.5,-0.20471638669661907,2,1,1,0,0.5,-9.090909090909093,-0.04545454545454547,1,0,0.0
Game Total Range,46.5-50,974,10.123984064561657,9.971252566735114,-0.15273149782654372,188,97,84,7,0.5359116022099447,968.3051873469803,0.05150559507164789,15,8,0.5333333333333333
Game Total Range,41.5-46,1558,10.258002945754102,10.132862644415917,-0.12514030133818466,313,161,144,8,0.5278688524590164,1057.5306732792126,0.033786922468984425,15,8,0.5333333333333333
Game Total Range,41 or Lower,694,10.019303301906282,9.695244956772335,-0.32405834513394716,150,76,67,7,0.5314685314685315,447.4331621796741,0.029828877478644943,15,7,0.4666666666666667
Game Total Range,Over 50,454,10.54511080395911,10.381057268722467,-0.16405353523664346,98,48,49,1,0.4948453608247423,-396.12124508463546,-0.040420535212717906,13,7,0.5384615384615384
Market Spread Range,10+ Points,478,10.31106534199836,10.146443514644352,-0.16462182735400788,92,48,41,3,0.5393258426966292,522.1387283117252,0.05675420959910057,12,6,0.5
Market Spread Range,3-6.5 Points,1751,10.129833358102568,9.991147915476871,-0.1386854426256967,358,188,160,10,0.5402298850574713,2013.600620540461,0.05624582738939835,15,9,0.6
Market Spread Range,0-2.5 Points,828,9.977549292786833,9.832125603864734,-0.145423688922099,184,91,88,5,0.5083798882681564,-217.67302358041337,-0.011830055629370293,15,8,0.5333333333333333
Market Spread Range,7-9.5 Points,623,10.684057154009682,10.36115569823435,-0.322901455775332,115,55,55,5,0.5,-240.91854755054095,-0.020949438917438345,14,7,0.5
Model Edge Range,3.5-4.9 Points,223,10.118816913339574,9.786995515695068,-0.33182139764450547,223,120,98,5,0.5504587155963303,1633.5238440083042,0.07325219031427373,15,9,0.6
Model Edge Range,5.0-7.4 Points,124,10.75943280569909,10.084677419354838,-0.6747553863442519,124,65,56,3,0.5371900826446281,590.4396849470173,0.04761610362475946,15,7,0.4666666666666667
Model Edge Range,7.5+ Points,55,13.49404576267081,9.590909090909092,-3.903136671761718,55,27,25,3,0.5192307692307693,140.84738969755398,0.02560861630864618,8,6,0.75
Model Edge Range,2.5-3.4 Points,347,9.995044461192572,9.720461095100864,-0.27458336609170786,347,170,165,12,0.5074626865671642,-287.6631409316433,-0.008290004061430642,15,8,0.5333333333333333
Model Edge Range,Below Bet Threshold,2931,10.161203370974484,10.101330603889458,-0.0598727670850252,0,0,0,0,,0.0,,0,0,
Season Segment,Weeks 11-14,901,9.742304961096409,9.588235294117647,-0.1540696669787618,120,64,52,4,0.5517241379310345,850.005606378446,0.07083380053153716,13,8,0.6153846153846154
Season Segment,Weeks 15-18,799,10.315590713303955,10.204005006257823,-0.11158570704613169,99,53,44,2,0.5463917525773195,665.9531947618851,0.06726799947089748,11,5,0.45454545454545453
Season Segment,Weeks 2-5,926,10.284935002533883,10.001079913606912,-0.28385508892697153,338,174,154,10,0.5304878048780488,1225.409663714687,0.03625472377854103,15,10,0.6666666666666666
Season Segment,Weeks 6-10,1054,10.47417675774596,10.329696394686907,-0.14448036305905276,192,91,94,7,0.4918918918918919,-664.2206871337861,-0.034594827454884694,14,4,0.2857142857142857
